company_name,country,role,dock_models,dock_count,website,linkedin_url,evidence_url_1,source_type_1,evidence_url_2,source_type_2,confidence,notes,source,source_count
CPE Tecnologia,Brazil,Reseller,Dock 3,1,https://www.cpetecnologia.com.br,https://www.linkedin.com/company/cpe-tecnologia/,https://www.cpetecnologia.com.br/doca-carregamento-drones-dji-dock-3/p,Company Website,https://www.cpetecnologia.com.br/dji,Product Page,High,Brazilian measurement and surveying technology company selling DJI Dock 3 charging dock with detailed specs and marketing for automated remote operations. ,Comet | Claude,2
DroneVisual,Brazil,DFR Service Provider; System Integrator,Dock 2; Dock 3,Multiple,https://www.dronevisual.com/,,https://www.dronevisual.com/curso-drone-dji-dock-plataforma-autonoma,Course/Service,https://www.loja.dronevisual.com/automacao-drone-seguranca-inspecao-mapeamento-dji-dock-2-drone-estacao-carregamento,E-Commerce,High,Official DJI reseller; offers Dock training courses; specializes in inspection and mapping solutions; integrates autonomous operations,Claude | ChatGPT,2
Embratop Geotecnologias Ltda.,Brazil,Authorized Dealer,Dock 2; Dock 3,Multiple,https://www.embratop.com.br,https://www.linkedin.com/company/embratop-geotecnologias-ltda/,https://enterprise.dji.com/pt-br/find-a-dealer,Company Website,https://www.embratop.com.br/produto/dji-dock-3/,E-Commerce,High,Brazilian geotechnology company listed in DJI Enterprise's dealer search as a DJI Dock 2/FlightHub 2 On-Premises partner in São Paulo. ,Comet | Claude,2
Unnamed ANAC-Approved BVLOS Operators,Brazil,Enterprise End-User,Dock 2; Dock 3,Unknown,https://www.anac.gov.br,,https://enterprise-insights.dji.com/blog/unlocking-bvlos-at-scale-dji-dock-2-and-matrice-3d-series-receive-anac-design-authorization-for-brazil, DJI Case Study,https://mundogeo.com/en/2026/02/12/anac-grants-design-authorization-for-dji-matrice-3d-series-and-dock-2-enabling-bvlos-operations-in-brazil/,News Article,High,Represents Brazilian enterprises now able to deploy DJI Dock 2 at scale thanks to ANAC Design Authorization; specific company names are not disclosed in DJI's article but indicate a new class of BVLOS Dock 2 operators. ,Comet | Claude,2
DrDrone.ca,Canada,Reseller,Dock 2; Dock 3,Multiple,https://drdrone.ca,https://www.linkedin.com/company/drdrone1/,https://drdrone.ca/pages/dji-dock-2,Company Website,https://drdrone.ca/products/dji-dock-3,Company Website,High,"Canada's first DJI Store, selling DJI Dock 2 bundles for Matrice 3D/3TD with Canadian sales and support. ",Comet | Claude,2
DroneLabs.ca,Canada,Reseller,Dock 2; Dock 3,Multiple,https://dronelabs.ca,https://www.linkedin.com/company/dronelabs/,https://dronelabs.ca/products/dji-dock,Company Website,https://dronelabs.ca/pages/dji-dock-2-automated-drone-operations,Company Website,High,"Canadian DJI dealer selling DJI Dock 2 with marketing focused on smaller, more capable automated operations. ",Comet | Claude,2
RMUS Canada (Remote Robotic),Canada,System Integrator,Dock 2; Dock 3,Multiple,https://rmus.ca,https://www.linkedin.com/company/rmus-llc/,https://rmus.ca/dji-dock-2/,Company Website,https://www.linkedin.com/posts/rmus-canada_dji-dock-2-activity-7178387354741534720-Mibm,LinkedIn,High,Canadian arm of RMUS offering DJI Dock 2 with detailed specs and consulting on unattended Matrice 3D/3TD Dock 2 deployments. ,Comet | Claude,2
Airclip Service GmbH & Co. KG,Germany,Authorized Dealer,Dock 2; Dock 3,Unknown,https://www.airclip.de,https://de.linkedin.com/company/airclip,https://www.airclip.de/DJI-Dock-2,Company Website,https://www.airclip.de/Dock-3-complete-package-including-operating-license,Company Website,High,Dresden-based surveying solutions provider reselling DJI Dock 2 and offering a DJI Dock 3 complete package including operating license.,Comet | Claude,2
CONDOR Schutz- und Sicherheitsdienst GmbH,Germany,Enterprise End-User,Dock 2; Dock 3,Unknown,https://www.condor-sicherheit.de,https://de.linkedin.com/company/condor-security-and-safety,https://www.condor-sicherheit.de/condor-group/aktuelles/aktuelle-meldung/detail/condor-und-u-rob-testen-dji-dock-2,Company Website,https://www.condor-drones.de/drohnen-showroom,Company Website,High,Private security group testing DJI Dock 2 with U-ROB and marketing DJI Dock 3-based security and monitoring solutions in Germany.,Comet | Claude,2
Drohne112.de,Germany,DFR Service Provider,Dock 1; Dock 2; Dock 3,Unknown,https://www.drohne112.de,Not Found,https://www.drohne112.de/dock2.html,Company Website,https://enterprise-insights.dji.com/blog/how-drones-enhance-different-stages-of-a-water-rescue,DJI Case Study,High,"Public-safety-focused provider integrating DJI Dock 2 with Matrice 3TD for German fire and rescue agencies (e.g., Baltic Sea water-rescue trials).",Comet | Claude,2
MOST Robotics,Germany,System Integrator; DFR Service Provider,Dock 2; Dock 3,Unknown,https://mostrobotics.com/,Not Found,https://mostrobotics.com/dji-dock-3-vermessung,Company Website,https://mostrobotics.com/hangar/dji-dock-3,Company Website,High,"Certified DJI Dock Partner. Provides consulting, installation, and permits. Supports inspection, monitoring, and surveying applications including power line and solar inspection.",Claude | ChatGPT,2
Pro Fly Center,Germany,System Integrator; Training Provider,Dock 1; Dock 2; Dock 3,Unknown,https://proflycenter.com/en/,https://www.facebook.com/proflycenterdjiacademy/,https://proflycenter.com/en/dji-dock-2-dji-dock-mini-der-naechste-schritt-im-automatisierten-flug.htm,Company Website,https://proflycenter.com/blog/morgen-findet-der-erste-vollautomatisierte-drohnenflug-in-deutschland-statt-dji-dock.html,Company Website,High,European DJI Academy training center in Bad Schönborn. Offers Dock Certificate training. Implementing one of Europe's largest DJI Dock projects for pipeline construction in northern Germany.,Claude | ChatGPT,2
Solectric GmbH,Germany,Distributor,Dock 1; Dock 2; Dock 3,Unknown,https://www.solectric.de/?lang=en,https://www.linkedin.com/posts/solectric-distribution-gmbh_milestone-solectric-europe-activity-7065286271622901760-EoVD,https://www.youtube.com/watch?v=cg2QgoXtg7Y,Social Media Post,https://www.linkedin.com/posts/solectric-distribution-gmbh_milestone-solectric-europe-activity-7065286271622901760-EoVD,LinkedIn Post,High,Largest DJI distributor in Europe; ran one of the first fully automated DJI Dock flights in Germany.,Comet | Claude,2
U-ROB,Germany,System Integrator,Dock 1; Dock 2; Dock 3,5,https://u-rob.com,https://www.linkedin.com/company/u-rob/,https://u-rob.com/shop/schulungen/dji-dock-2-inkl-genehmigung-und-inbetriebnahme/,Company Website,https://www.drones-magazin.de/en/stories/fully-automated-birds-nest-monitoring-with-drones/,Industry Article,High,German DJI reseller/system integrator offering Dock 1/2/3 packages with permits and commissioning; operates a project using five DJI Dock 2 units for fully automated bird’s-nest monitoring.,Comet | Claude,2
geo-konzept GmbH,Germany,System Integrator,Dock 2; Dock 3,Unknown,https://geo-konzept.de,https://de.linkedin.com/company/geo-konzept-gmbh,https://geo-konzept.de/uebersicht-fernerkundung/fernerkundung_produktuebersicht_flugsystemeloesungen_dock-3/,Company Website,https://geo-konzept.de/en/dock-3-dji-veroeffentlicht-neuen-automatisierten-drohnenhangar/,Company Website,High,Remote-sensing and precision-farming integrator in Adelschlag marketing DJI Dock 3 (and Dock use cases) for automated surveying and agricultural trials.,Comet | ChatGPT,2
Aermatica3D Srl,Italy,System Integrator,Dock 2; Dock 3; Dock,Multiple,https://www.aermatica.com,https://www.linkedin.com/company/aermatica3d/,https://enterprise.dji.com/it/find-a-dealer,Company Website,https://www.aermatica.com/product/dji-dock-2/,Company Website,High,"Italian DJI Enterprise partner listed by DJI in the Italian dealer search, expected to integrate DJI Dock 3 and FlightHub 2 into custom solutions. ",Comet | Claude,2
AprFlyTech,Italy,Authorized Dealer / Certified Installer,Dock 3; Dock,Multiple,https://www.aprflytech.it/,,https://www.aprflytech.it/product-page/dji-dock-3,Company Website,https://www.aprflytech.it/prodotti/dji-enterprise,Company Website,High,"Located in Paderno Dugnano (Milan area). DJI Enterprise """"A"""" Dealer. ENAC training center. Certified by DJI for Dock 3 installation and FlightHub 2 configuration.",Claude | ChatGPT,2
DJI Store Italia (official DJI ARS),Italy,Authorized Dealer,Dock 1; Dock 2; Dock 3; Dock,Multiple,https://www.dji-store.it/,https://www.instagram.com/djistore_milano/,https://www.dji-store.it/categoria/imprese/dji-dock-2/,Company Website,https://www.dji-store.it/categoria/imprese/dji-dock-3/,Company Website,High,Official DJI Authorized Retail Store (ARS) in Italy. Two physical locations: Rome (Euroma2) and Milan (CityLife Shopping District). Online store dji-store.it.,Claude | ChatGPT,2
Dron-e.it,Italy,Authorized Dealer,Dock 1; Dock 3,Unknown,https://dron-e.it,https://www.linkedin.com/company/dron-e/,https://dron-e.it/product/dji-dock-3/,Company Website,https://dron-e.it/services/dji-enterprise-dealer/,Company Website,High,Official DJI Enterprise dealer in Italy offering DJI Dock 3 and DJI Dock + M30 Dock Version as part of its enterprise portfolio. ,Comet | ChatGPT,2
DroneBase Srl,Italy,Authorized Dealer,Dock 2; Dock 3; Dock,Multiple,https://shop.dronebase.it,https://www.linkedin.com/company/dronebase-srl/,https://shop.dronebase.it/en/dji-dock-2/,Company Website,https://shop.dronebase.it/en/dji-dock-3/,Company Website,High,Italian professional drone reseller in Rimini selling DJI Dock 2 and DJI Dock 3 with full technical descriptions for automated operations. ,Comet | Claude,2
PersonalDrones (GOLD Dealer),Italy,Reseller,Dock 2; Dock 3; Dock,Multiple,https://www.personaldrones.it,https://www.linkedin.com/company/personaldrones/,https://www.personaldrones.it/prodotti/dji/enterprise/dji-dock/dock-2/23298-dji-matrice-3td,Company Website,https://www.personaldrones.it/prodotti/dji/enterprise/dji-dock/dock-3/23578-dji-dock-3-con-garanzia-12-mesi,Company Website,High,"Italian DJI Enterprise GOLD dealer selling Matrice 3TD for DJI Dock 2 and describing Dock 2 as a more powerful, compact station for automated operations. ",Comet | Claude,2
CTV「そらメディア」(中京テレビ放送株式会社),Japan,Enterprise End-User,Dock 2; Dock 3,Unknown,https://www.ctv.co.jp/sora-media/,https://www.linkedin.com/company/chukyo-tv-broadcasting-co-ltd/,https://drone-journal.impress.co.jp/docs/news/1185992.html,Industry Article,https://www.ctv.co.jp/sora-media/remote-control/assets/img/pdf/leaflet_Dock2.pdf,PDF,High,Media and technology arm of Chukyo TV involved in the DJI Dock 2 disaster-response demonstration project in coastal Aichi Prefecture. ,Comet | Claude,2
DJI JAPAN株式会社,Japan,Distributor,Dock 2; Dock 3,Unknown,https://www.dji.com/jp,https://www.linkedin.com/company/dji/,https://prtimes.jp/main/html/rd/p/000000289.000015765.html,Industry Article,https://prtimes.jp/main/html/rd/p/000000324.000015765.html,Industry Article,High,"DJI JAPAN announces and markets DJI Dock 2 and DJI Dock 3 in Japan, directing enterprise customers to purchase via authorized DJI Enterprise dealers. ",Comet | Claude,2
合同会社SORABOT,Japan,System Integrator,Dock 2; Dock 3,Multiple,https://sorabot.co.jp,https://www.linkedin.com/company/sorabot-llc/,https://drone.jp/tag/dji-dock-2,Industry Article,https://prtimes.jp/main/html/rd/p/000000014.000111543.html,Press Release,High,"Japanese company demonstrating DJI Dock 2 at the Japan Drone / Next Generation Air Mobility EXPO 2024 in Kansai, offering Dock 2 demo operations. ",Comet | Claude,2
DJI Store Warszawa,Poland,Authorized Retail,Dock 2; Dock 3; Consumer models; Dock,3+,https://dji-ars.pl/DJI-ARS-Warszawa-stock-3-pol.html,https://www.linkedin.com/in/dji-store-warszawa/,https://dji-ars.pl/DJI-ARS-Warszawa-stock-3-pol.html,Store Location,https://www.instagram.com/djistorewarszawa/,Social Media,High,Physical retail location Warsaw; part of DJI-ARS network,Claude | ChatGPT,2
