name,country,city,role,sources,dock_models,comet_confidence,google_score,website,linkedin_url,domain,notes
"Vortex Hardware",NL,Heinenoord,system integrator,dji_dealer + deep_research,,low,,https://www.vortex-hardware.com,https://nl.linkedin.com/company/vortex-hardware-maintenance-bv,vortex-hardware.com,"Referenced in Shell programme supply chain (Heliguy case study). Integration and localised support."
"Skeye (Terra Drone Europe)",NL,Heinenoord,operator,deep_research,"Dock 1/2",high,,https://www.skeye.com,,skeye.com,"Remote BVLOS drone-in-a-box for Shell. First EASA LUC in Netherlands. Remote flight centre operations."
"Shell (Pernis / Europort)",NL,Rotterdam,operator,deep_research,"Dock 1/2",high,,,,shell.com,"End-user: multiple DJI Dock systems at Pernis refinery and Europort tank farms. Operational for over a year."
"Tata Steel Nederland",NL,IJmuiden,operator,deep_research,Dock 2,medium,,,,tatasteel.com,"Dock 2 + Matrice 3D for daily mapping flights measuring waste/stockpile volumes at IJmuiden site."
"Droneshop.nl",NL,,dealer,dji_dealer + google_search,,,,https://droneshop.nl,https://www.linkedin.com/company/droneshopnl,droneshop.nl,"Dock 3 product page found via Google."
"Dronestars B.V.",NL,,dealer,dji_dealer,,,,https://dronestars.nl/,https://www.linkedin.com/company/dronestars-b-v,dronestars.nl,
"Vliegend.nl",NL,,dealer,dji_dealer,,,,https://www.vliegend.nl/,https://www.linkedin.com/company/vliegend.nl,vliegend.nl,
"Geocentrum",NL,,dealer,dji_dealer,,,,https://geocentrum.nl,https://www.linkedin.com/company/geocentrum-nl,geocentrum.nl,
"Geodirect",NL,,dealer,dji_dealer,,,,https://www.geodirect.nl,https://www.linkedin.com/company/geodirect-bv,geodirect.nl,
"DroneWatch",NL,,media,google_search,,,89,https://www.dronewatch.nl,,dronewatch.nl,"Dutch drone news. Reported 'Eerste DJI Dock in bedrijf gesteld in Nederland'."
"COPTRZ",NL,,solution provider,google_search,,,77,https://www.coptrz.com,https://uk.linkedin.com/company/coptrz,coptrz.com,"UK-based DSP/SI. Dock use cases page appeared in NL search results."
"Drone Parts Center",NL,,dealer,google_search,,,77,https://drone-parts-center.com,,drone-parts-center.com,"Dock 3 features/pricing blog post."
